ra,dec,specobjID,objID,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petroR90_z,petroR50_z,fibermag_u,stellarmass,redshift
190.54421,33.284064,2274331888158009344,1237665331465027589,16.838362,15.682125,15.061733,14.629053,14.393969,2.763854,0.99381,17.381029,10.66779,0.043528
128.009,46.240482,618169384749262848,1237654390570156093,17.347639,16.122038,15.388618,15.013043,14.719703,7.675686,2.440645,18.497517,10.649101,0.045667
122.00729,38.326482,854642729504761856,1237654665975431363,17.842854,16.711908,16.065266,15.691036,15.428514,7.155532,2.802716,19.455755,10.209007,0.041165
238.10366,4.2906204,3321411123864954880,1237655743487738197,18.843588,17.889389,17.314156,16.940868,16.684277,2.836501,0.99348,19.432789,9.759336,0.045739
2.9384235,-0.90852873,436852217593489408,1237657189832720581,18.965137,17.199474,16.445467,16.055408,15.756454,6.446321,2.757625,20.82383,10.221996,0.047623
172.42815,55.986845,1475006719296825344,1237657610727456831,18.134989,16.50201,15.784044,15.461809,15.107063,12.140918,5.181892,20.419506,10.477684,0.048822
157.17492,49.07186,984177570171873280,1237657629521412153,16.744171,15.183065,14.488514,14.09056,13.785746,13.890272,4.937025,19.027287,10.866796,0.042936
46.074085,0.47426843,462885904562808832,1237660241385685057,16.92664,15.833986,15.188227,14.795709,14.513638,11.605386,3.969114,18.499987,10.567516,0.044447
166.23345,43.569226,1534647803735730176,1237661872934551615,18.304884,16.883789,16.198776,15.790694,15.528442,4.862886,1.708006,19.455338,10.360948,0.049453
138.23518,38.093914,1054969907394930688,1237658203422457926,17.847549,16.499779,15.840504,15.453297,15.199938,5.212675,1.732581,18.972593,10.333887,0.045418
226.9375,51.452851,1311736933617002496,1237659324947562525,16.760208,15.199992,14.399024,13.953195,13.63831,15.144781,5.075598,18.632236,11.117339,0.045916
241.49218,44.055427,1317412338650867712,1237659326026612858,17.170919,15.711753,14.994162,14.606208,14.323391,13.577271,4.300125,18.763081,10.695096,0.044017
147.16009,40.512147,1369146558972454912,1237660343400398852,16.537203,15.49154,14.892742,14.499037,14.19722,7.662182,2.827207,18.070784,10.874066,0.046839
221.13176,15.612014,3109736993140008960,1237668297145516085,16.60741,15.744256,15.238419,14.821929,14.58126,5.692087,1.951037,17.413874,10.617227,0.049602
191.64687,2.3690977,587767339206862848,1237671763713851428,16.472555,16.073862,15.848622,15.622017,15.519617,2.628549,0.901205,16.747446,9.995344,0.048131
259.41272,32.704313,3347323864689436672,1237671935508283674,17.325996,15.806638,14.997287,14.575869,14.498742,9.346806,4.48102,19.014009,10.555275,0.040582
188.15621,66.414533,556219050242369536,1237651271364247574,17.612715,16.216581,15.539904,15.117258,14.844402,4.320105,1.395315,18.518904,10.568457,0.046745
196.84136,9.8692621,2022237244131141632,1237658492823470229,17.382971,15.853595,15.111917,14.706828,14.393395,12.172854,4.122843,19.498432,10.762889,0.049116
173.2053,10.296445,1377148256051554304,1237658493350182949,17.501375,15.848188,14.964048,14.494818,14.159029,8.824136,2.763011,19.043486,10.901261,0.043691
121.6242,24.332134,1424301635567380480,1237660764833644829,17.553566,16.312752,15.69725,15.34201,15.0897,9.876856,3.140275,19.532999,10.195299,0.041349
156.38368,10.417802,1799236480531458048,1237661064419213402,18.817202,17.230537,16.469471,16.02339,15.690853,5.860527,2.005344,20.157528,10.271049,0.046067
246.63037,26.004505,1772310547711158272,1237662335185060132,20.170927,18.3463,17.538702,17.118618,16.822775,4.550929,1.58156,21.339283,9.862505,0.049179
238.57263,32.64384,1580828112910837760,1237662336254541906,16.83952,15.861318,15.257469,14.853709,14.620923,4.624445,1.717677,17.535078,10.703728,0.048272
31.566635,-0.29144317,454902350549641216,1237663783674314797,15.64179,14.297331,13.589727,13.234826,12.989635,12.924233,3.643703,15.497904,11.272216,0.042957
202.28681,29.840057,2227119409321764864,1237665443129196555,17.715187,16.902174,16.372787,16.010698,15.822909,4.501008,1.740907,18.635794,10.1281,0.047661
161.65493,22.039432,2788857985621846016,1237667536401465411,17.010651,15.404187,14.567276,14.146664,13.806283,18.165762,5.783621,19.407665,11.022119,0.04691
156.52554,21.604897,2663920474039281664,1237667536936239343,18.716278,17.100689,16.154638,15.640362,15.293469,8.261435,2.477047,20.418232,10.54712,0.04142
171.98972,-1.2111543,316434800627968000,1237674648851447906,16.916887,15.162705,14.272412,13.79972,13.466566,23.134344,7.734375,19.778166,10.558262,0.042661
200.73097,8.1615591,2025595422017349632,1237661972802961489,15.58404,14.77977,14.380975,13.999677,13.780287,12.291883,4.824641,16.841782,10.966997,0.049946
247.9983,24.627852,1770040326061320192,1237662667500028294,18.66757,17.591442,17.013475,16.642443,16.427391,2.968514,1.09836,19.353432,9.809226,0.043346
19.264929,7.6054975E-3,446992738475337728,1237663784205811742,16.85577,15.849995,15.222632,14.818809,14.673187,6.489843,2.051534,17.798138,10.720133,0.045635
232.92192,20.324981,2436573082807199744,1237665440994427031,16.748186,16.523159,16.242102,15.920865,15.793773,2.553199,0.928955,17.118467,10.231833,0.04937
224.13065,21.341687,2418457814843287552,1237665531179303137,18.713852,16.993649,16.280128,15.880466,15.565415,4.073467,1.651302,19.959896,10.192328,0.043968
221.9975,22.942021,2409599588206929920,1237665532252061737,17.126865,15.426476,14.579105,14.133906,13.820146,11.017039,4.132677,19.281483,10.369844,0.046417
240.88488,16.327677,2473738769296025600,1237665549437698253,28.787188,16.961386,15.302617,15.054484,18.863499,-9999,-9999,23.022909,9.487001,0.041492
127.30282,50.114544,498914977399203840,1237651252021493772,18.182608,17.628305,17.252762,16.895802,16.68504,2.807732,1.003895,18.70491,9.675452,0.043206
242.98465,52.188021,701547001925363712,1237654949451792469,17.515516,16.28615,15.573988,15.188678,14.919662,6.07682,1.778993,18.457846,10.436173,0.041038
260.66639,30.881292,3348462958752589824,1237654953748201616,16.029402,14.792656,14.172061,13.752271,13.522505,12.70711,5.267131,16.815859,10.922098,0.043109
173.26847,56.174669,1474967136878225408,1237661352167604304,19.445198,17.932768,17.213614,16.838331,16.572771,7.315369,1.851209,20.738749,9.925275,0.049885
236.28135,17.164163,2439863371403651072,1237665548362055834,17.711998,16.757341,16.105629,15.659787,15.35771,4.06879,1.401427,18.356804,10.534346,0.048325
216.03493,21.088492,3137946338658904064,1237667910605799685,16.752424,15.378747,14.643644,14.271951,13.992243,13.265409,4.984285,19.362873,10.782804,0.047155
154.80239,63.967421,549483441993836544,1237651272431829033,15.872189,14.910513,14.337547,14.007436,13.774316,10.905912,3.843463,16.72999,10.817635,0.041517
164.9728,59.954331,871518034504738816,1237655368746860686,17.834475,16.181585,15.439659,14.99069,14.664957,7.421234,2.604046,19.659159,10.653439,0.045189
188.73294,15.56561,1990741451260061696,1237661070338555922,15.795738,14.770017,14.265989,13.859315,13.600922,14.601001,6.436867,17.75589,10.251802,0.045823
50.026352,40.366306,1874656655048730624,1237661082662666676,17.990568,16.732201,15.965215,15.525189,15.174863,7.455073,2.52342,19.284082,10.515934,0.047174
205.54213,56.702854,1488554897514194944,1237661418747265047,17.00605,16.408991,16.05685,15.76111,15.598179,4.616484,1.715412,18.042154,9.88449,0.040452
198.96475,36.410323,2287852589087221760,1237664672717144198,18.66803,16.708994,15.840798,15.40132,15.064413,8.547581,2.471187,20.077341,10.543895,0.043887
246.67054,14.378788,2486000803299485696,1237665427574751597,18.294001,16.631304,15.952146,15.539228,15.237351,6.773994,2.732939,20.325895,10.222442,0.04788
